
 !***TRACE Bacon number     1 on file (43)***

 I         256 X  4.86189E+02 Y  6.89685E+01 Z  8.50000E+01 AT           0
 I         257 X  4.86189E+02 Y  6.89685E+01 Z  9.25000E+01 AT           0
 I         258 X  4.86189E+02 Y  6.89685E+01 Z  1.00000E+02 AT           0
 I         259 X  4.86189E+02 Y  6.89685E+01 Z  1.07500E+02 AT           0
 I         260 X  4.86189E+02 Y  6.89685E+01 Z  1.15000E+02 AT           0
 I         261 X  4.86189E+02 Y  6.89685E+01 Z  1.22500E+02 AT           0
 I         262 X  4.86189E+02 Y  6.89685E+01 Z  1.30000E+02 AT           0
 I         263 X  4.86189E+02 Y  6.89685E+01 Z  1.37500E+02 AT           0
 I         264 X  4.86189E+02 Y  6.89685E+01 Z  1.45000E+02 AT           0
 I         265 X  4.86189E+02 Y  6.89685E+01 Z  1.52500E+02 AT           0
 I         266 X  4.86189E+02 Y  6.89685E+01 Z  1.60000E+02 AT           0
 I         267 X  4.86189E+02 Y  6.89685E+01 Z  1.67500E+02 AT           0
 I         268 X  4.86189E+02 Y  6.89685E+01 Z  1.75000E+02 AT           0
 I         269 X  4.78592E+02 Y  7.02346E+01 Z  2.50000E+01 AT           0
 I         270 X  4.78592E+02 Y  7.02346E+01 Z  4.00000E+01 AT           0
 I         271 X  4.78592E+02 Y  7.02346E+01 Z  5.50000E+01 AT           0
 I         272 X  4.78592E+02 Y  7.02346E+01 Z  7.00000E+01 AT           0
 I         273 X  4.78592E+02 Y  7.02346E+01 Z  8.50000E+01 AT           0
 I         274 X  4.78592E+02 Y  7.02346E+01 Z  1.00000E+02 AT           0
 I         275 X  4.78592E+02 Y  7.02346E+01 Z  1.15000E+02 AT           0
 I         276 X  4.78592E+02 Y  7.02346E+01 Z  1.30000E+02 AT           0
 I         277 X  4.78592E+02 Y  7.02346E+01 Z  1.45000E+02 AT           0
 I         278 X  4.78592E+02 Y  7.02346E+01 Z  1.60000E+02 AT           0
 I         279 X  4.78592E+02 Y  7.02346E+01 Z  1.75000E+02 AT           0
 I         280 X  4.70996E+02 Y  7.15007E+01 Z  2.50000E+01 AT           0
 I         281 X  4.70996E+02 Y  7.15007E+01 Z  3.25000E+01 AT           0
 I         282 X  4.70996E+02 Y  7.15007E+01 Z  4.00000E+01 AT           0
 I         283 X  4.70996E+02 Y  7.15007E+01 Z  4.75000E+01 AT           0
 I         284 X  4.70996E+02 Y  7.15007E+01 Z  5.50000E+01 AT           0
 I         285 X  4.70996E+02 Y  7.15007E+01 Z  6.25000E+01 AT           0
 I         286 X  4.70996E+02 Y  7.15007E+01 Z  7.00000E+01 AT           0
 I         287 X  4.70996E+02 Y  7.15007E+01 Z  7.75000E+01 AT           0
 I         288 X  4.70996E+02 Y  7.15007E+01 Z  8.50000E+01 AT           0
