
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 |   344 | -3.76136E-02 -1.79303E-01 -8.85406E-02 |
 |   345 | -3.40097E-02 -1.63827E-01 -8.85193E-02 |
 |   346 | -3.04058E-02 -1.48352E-01 -8.84980E-02 |
 |   347 | -2.67102E-02 -1.31081E-01 -8.84908E-02 |
 |   348 | -2.30145E-02 -1.13809E-01 -8.84836E-02 |
 |   349 | -1.92325E-02 -9.53907E-02 -8.84798E-02 |
 |   350 | -1.54506E-02 -7.69722E-02 -8.84761E-02 |
 |   351 | -1.16017E-02 -5.78567E-02 -8.84719E-02 |
 |   352 | -7.75277E-03 -3.87412E-02 -8.84677E-02 |
 |   353 | -3.86979E-03 -1.92961E-02 -8.84670E-02 |
 |   354 |  1.31806E-05  1.49002E-04 -8.84662E-02 |
 |   355 |  3.89595E-03  1.95835E-02 -8.84675E-02 |
 |   356 |  7.77872E-03  3.90180E-02 -8.84688E-02 |
 |   357 |  1.16228E-02  5.81056E-02 -8.84725E-02 |
 |   358 |  1.54669E-02  7.71931E-02 -8.84762E-02 |
 |   359 |  1.92461E-02  9.55730E-02 -8.84797E-02 |
 |   360 |  2.30253E-02  1.13953E-01 -8.84832E-02 |
 |   361 |  2.67186E-02  1.31186E-01 -8.84879E-02 |
 |   362 |  3.04119E-02  1.48419E-01 -8.84926E-02 |
 |   363 |  3.40181E-02  1.63866E-01 -8.85148E-02 |
 |   364 |  3.76242E-02  1.79313E-01 -8.85369E-02 |
 |   365 | -3.77465E-02 -1.80996E-01 -8.67962E-02 |
 |   366 | -3.05790E-02 -1.49749E-01 -8.67041E-02 |
 |   367 | -2.31613E-02 -1.14853E-01 -8.66800E-02 |
 |   368 | -1.55500E-02 -7.76633E-02 -8.66722E-02 |
 |   369 | -7.80336E-03 -3.90901E-02 -8.66677E-02 |
 |   370 |  1.18809E-05  1.32726E-04 -8.66664E-02 |
 |   371 |  7.82512E-03  3.93375E-02 -8.66675E-02 |
 |   372 |  1.55657E-02  7.78615E-02 -8.66710E-02 |
 |   373 |  2.31712E-02  1.14984E-01 -8.66769E-02 |
 |   374 |  3.05858E-02  1.49810E-01 -8.66982E-02 |
 |   375 |  3.77559E-02  1.81005E-01 -8.67892E-02 |
 |   376 | -3.78794E-02 -1.82690E-01 -8.50518E-02 |
 |   377 | -3.43158E-02 -1.66917E-01 -8.49810E-02 |
 |   378 | -3.07522E-02 -1.51145E-01 -8.49102E-02 |
 |   379 | -2.70301E-02 -1.33521E-01 -8.48933E-02 |
 |   380 | -2.33080E-02 -1.15898E-01 -8.48765E-02 |
 |   381 | -1.94787E-02 -9.71260E-02 -8.48723E-02 |
 |   382 | -1.56494E-02 -7.83544E-02 -8.48682E-02 |
 |   383 | -1.17517E-02 -5.88967E-02 -8.48679E-02 |
 |   384 | -7.85396E-03 -3.94389E-02 -8.48676E-02 |
 |   385 | -3.92169E-03 -1.96612E-02 -8.48671E-02 |
 |   386 |  1.05812E-05  1.16450E-04 -8.48665E-02 |
 |   387 |  3.94105E-03  1.98867E-02 -8.48663E-02 |
 |   388 |  7.87152E-03  3.96569E-02 -8.48662E-02 |
 |   389 |  1.17680E-02  5.90934E-02 -8.48660E-02 |
 |   390 |  1.56645E-02  7.85300E-02 -8.48658E-02 |
 |   391 |  1.94908E-02  9.72724E-02 -8.48682E-02 |
 |   392 |  2.33171E-02  1.16015E-01 -8.48706E-02 |
 |   393 |  2.70384E-02  1.33608E-01 -8.48872E-02 |
 |   394 |  3.07598E-02  1.51202E-01 -8.49038E-02 |
 |   395 |  3.43236E-02  1.66950E-01 -8.49726E-02 |
 |   396 |  3.78875E-02  1.82698E-01 -8.50415E-02 |
 |   397 | -3.76697E-02 -1.83096E-01 -8.33025E-02 |
 |   398 | -3.06776E-02 -1.51427E-01 -8.31428E-02 |
 |   399 | -2.32829E-02 -1.16107E-01 -8.30969E-02 |
 |   400 | -1.56424E-02 -7.84939E-02 -8.30858E-02 |
 |   401 | -7.85263E-03 -3.95142E-02 -8.30845E-02 |
 |   402 |  8.85388E-06  1.02888E-04 -8.30839E-02 |
 |   403 |  7.86874E-03  3.97068E-02 -8.30828E-02 |
 |   404 |  1.56554E-02  7.86499E-02 -8.30822E-02 |
 |   405 |  2.32920E-02  1.16212E-01 -8.30910E-02 |
 |   406 |  3.06845E-02  1.51478E-01 -8.31352E-02 |
 |   407 |  3.76769E-02  1.83104E-01 -8.32934E-02 |
 |   408 | -3.74599E-02 -1.83503E-01 -8.15531E-02 |
 |   409 | -3.40314E-02 -1.67606E-01 -8.14643E-02 |
 |   410 | -3.06030E-02 -1.51709E-01 -8.13754E-02 |
 |   411 | -2.69304E-02 -1.34012E-01 -8.13463E-02 |
 |   412 | -2.32578E-02 -1.16316E-01 -8.13172E-02 |
 |   413 | -1.94466E-02 -9.74746E-02 -8.13103E-02 |
 |   414 | -1.56354E-02 -7.86334E-02 -8.13034E-02 |
 |   415 | -1.17434E-02 -5.91115E-02 -8.13024E-02 |
 |   416 | -7.85130E-03 -3.95895E-02 -8.13013E-02 |
 |   417 | -3.92209E-03 -1.97501E-02 -8.13013E-02 |
 |   418 |  7.12657E-06  8.93248E-05 -8.13013E-02 |
 |   419 |  3.93655E-03  1.99230E-02 -8.13003E-02 |
 |   420 |  7.86597E-03  3.97567E-02 -8.12994E-02 |
